1293.2430736359968,4445.538780446813,inf
1215.1515406639273,3919.0950496191645,inf
1272.4760508645231,4290.486992594101,inf
1258.6816587687294,4253.179182333163,inf
1240.3336037153686,4065.044836741286,inf
1265.522258206693,4306.730235742811,inf
1315.719945253779,4648.62760963117,inf
1304.4125050455175,4555.997249536236,inf
1290.9448219059882,4508.072139890196,inf
1295.8015801719378,4392.86622380901,inf
1252.2599640602464,4150.834023482687,22.526291149517455
02/11/2019 22:45:05,764.4313821930568,2570.9110604349453,12.89804160437539
02/11/2019 22:48:44,759.926069217321,2574.476740816753,12.816336151247686
02/11/2019 22:52:25,768.9802345354869,2592.6428940833775,12.925444508285974
02/11/2019 22:56:04,762.9469327460243,2604.1522055044093,12.76537563394427
02/11/2019 22:59:43,755.1916801453796,2499.4570049853637,12.760894760155656
02/11/2019 23:03:23,755.8274372350788,2518.867279156673,12.789432749622936
02/11/2019 23:07:03,742.6647115431133,2488.521322621985,12.801737800769889
02/11/2019 23:10:44,759.9603831548565,2560.145198668248,12.76720993768859
02/11/2019 23:14:23,754.3900412780841,2485.8693903633352,12.887358876576005
02/11/2019 23:18:01,754.0590898870659,2501.0252283945847,12.81883517546247
02/11/2019 23:21:41,754.4137168300709,2494.1015892291284,12.825665850437368
02/11/2019 23:25:21,767.7992111114617,2621.9197420227415,12.768908249238194
02/11/2019 23:28:59,752.928353394001,2533.3703298170535,12.753097960251726
02/11/2019 23:32:37,748.7768549128942,2512.5966080936414,12.665074343350128
02/11/2019 23:36:17,754.8768651088585,2509.898476057426,12.841168967427052
02/11/2019 23:39:57,746.071232158529,2463.2790129802465,12.855797398998872
02/11/2019 23:43:38,743.5348603220585,2444.662949741621,12.873747680593622
02/11/2019 23:47:18,761.9216192946622,2560.296268158806,12.832504776054025
02/11/2019 23:50:58,751.5792585065917,2504.5425595739607,12.783522098632558
02/11/2019 23:54:36,759.6181015216954,2549.5142757417234,12.81567373256077
02/11/2019 23:58:17,757.1822900765437,2539.9128614961687,12.881961855287964
03/11/2019 00:01:56,766.5578389453929,2654.6909315251733,12.707519234298584
03/11/2019 00:05:35,756.186298013402,2555.400689766188,12.846706274591217
03/11/2019 00:09:14,742.5559480323489,2427.7797843326352,12.79017504840701
03/11/2019 00:12:53,760.1191453327708,2534.053402932205,12.920671932578193
03/11/2019 00:16:34,748.5292866649567,2479.3965736249374,12.779773193183436
03/11/2019 00:20:12,756.6573393271528,2560.4236952582437,12.807679893459609
03/11/2019 00:23:52,739.2449676681968,2420.3983123703133,12.82920704219143
03/11/2019 00:27:31,774.5048457544203,2592.2328992735384,12.914827825113539
03/11/2019 00:31:13,766.3942113935078,2646.582427338795,12.76764496694491
03/11/2019 00:34:52,753.5086268450273,2532.6397616029453,12.878878133503468
03/11/2019 00:38:31,746.5434831799521,2461.2519487360937,12.799133314670252
03/11/2019 00:42:11,743.8882359172186,2473.984558354348,12.741870152682736
03/11/2019 00:45:50,756.8530520948914,2512.4728482678834,12.790141524758525
03/11/2019 00:49:30,754.5816790576785,2535.190827325202,12.869240461091817
03/11/2019 00:53:10,743.7934658273314,2453.026421176152,12.755214079728768
03/11/2019 00:56:52,757.6999078485015,2548.4934134814507,12.913761502850507
03/11/2019 01:00:31,763.1673552694191,2598.373930912029,12.823998851915455
03/11/2019 01:04:11,752.2011759513193,2510.5415774384537,12.81542078766556
03/11/2019 01:07:50,764.8138382618088,2589.0773930114187,12.70458890055047
03/11/2019 01:11:29,746.8014866747505,2477.0710351320818,12.884561533710562
03/11/2019 01:15:09,742.4144962533431,2472.5334834673276,12.79962741107091
03/11/2019 01:18:48,774.6725428216628,2580.020096362582,12.922895070539589
03/11/2019 01:22:29,763.357000309569,2541.4657313431985,12.866860074065608
03/11/2019 01:26:08,753.2413610144916,2522.5378037378764,12.759039238997014
03/11/2019 01:29:47,758.2757972129597,2499.8167227025783,12.892672770032481
03/11/2019 01:33:27,780.840004554122,2667.6427076171794,12.955470975300337
03/11/2019 01:37:07,763.1626431420362,2540.747865237029,12.866497222984139
03/11/2019 01:40:46,747.9756145316511,2514.413368852937,12.793029652298603
03/11/2019 01:44:26,761.8118942755931,2557.9903783433633,12.845484054317433
